filename	newspaper	date	# wk hits	wk strings	# hostile hits	hostile strings	# dakota hits	dakota strings	# tibbles hits	tibbles strings	# sioux hits	sioux strings	# pr hits	pr strings	# bf hits	bf strings	# be hits	be strings	# lf hits	lf strings	# gd hits	gd strings
aberdeen-herald_1890-11-13.txt	aberdeen-herald	1890-11-13	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1890-11-27.txt	aberdeen-herald	1890-11-27	0	[]	0	[]	1	['Dakota']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1890-12-18.txt	aberdeen-herald	1890-12-18	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1890-12-25.txt	aberdeen-herald	1890-12-25	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-01-01.txt	aberdeen-herald	1891-01-01	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	1	['Big Foot']	0	[]	0	[]	0	[]
aberdeen-herald_1891-01-08.txt	aberdeen-herald	1891-01-08	0	[]	1	['hostile']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-01-15.txt	aberdeen-herald	1891-01-15	0	[]	1	['hostile']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	1	['ghost dance']
aberdeen-herald_1891-01-22.txt	aberdeen-herald	1891-01-22	0	[]	1	['hostile']	0	[]	0	[]	0	[]	1	['Pine Ridge']	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-01-29.txt	aberdeen-herald	1891-01-29	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-02-05.txt	aberdeen-herald	1891-02-05	0	[]	0	[]	3	['Dakota', 'Dakota', 'Dakota']	0	[]	0	[]	0	[]	0	[]	1	['bright eyes']	0	[]	0	[]
aberdeen-herald_1891-02-12.txt	aberdeen-herald	1891-02-12	0	[]	1	['hostile']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-02-19.txt	aberdeen-herald	1891-02-19	0	[]	0	[]	1	['Dakota']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-02-26.txt	aberdeen-herald	1891-02-26	0	[]	0	[]	1	['Dakota']	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
aberdeen-herald_1891-03-26.txt	aberdeen-herald	1891-03-26	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
abilene-weekly-reflector_1890-11-06.txt	abilene-weekly-reflector	1890-11-06	0	[]	0	[]	6	['Dakota', 'Dakota', 'Dakota', 'Dakota', 'Dakota', 'Dakota']	0	[]	0	[]	0	[]	0	[]	1	['Bright eyes']	0	[]	0	[]
abilene-weekly-reflector_1890-11-13.txt	abilene-weekly-reflector	1890-11-13	0	[]	0	[]	0	[]	0	[]	3	['Sioux', 'Sioux', 'Sioux']	0	[]	0	[]	0	[]	0	[]	0	[]
abilene-weekly-reflector_1890-11-20.txt	abilene-weekly-reflector	1890-11-20	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]	0	[]
abilene-weekly-reflector_1890-11-27.txt	abilene-weekly-reflector	1890-11-27	0	[]	0	[]	4	['Dakota', 'Dakota', 'Dakota', 'Dakota']	0	[]	4	['Sioux', 'Sioux', 'Sioux', 'Sioux']	0	[]	0	[]	0	[]	0	[]	5	['ghost dance', 'ghost dance', 'Ghost Dance', 'ghost dance', 'ghost dance']
abilene-weekly-reflector_1890-12-04.txt	abilene-weekly-reflector	1890-12-04	0	[]	1	['hostile']	0	[]	0	[]	1	['Sioux']	1	['Pine Ridge']	0	[]	0	[]	0	[]	2	['Ghost Dance', 'ghost dance']
abilene-weekly-reflector_1890-12-11.txt	abilene-weekly-reflector	1890-12-11	0	[]	3	['hostile', 'hostile', 'hostile']	4	['Dakota', 'Dakota', 'Dakota', 'Dakota']	0	[]	0	[]	1	['Pine Ridge']	0	[]	0	[]	0	[]	0	[]
abilene-weekly-reflector_1890-12-18.txt	abilene-weekly-reflector	1890-12-18	0	[]	3	['hostile', 'Hostile', 'hostile']	1	['Dakota']	0	[]	4	['Sioux', 'Sioux', 'Sioux', 'Sioux']	1	['Pine Ridge']	1	['Big Foot']	0	[]	0	[]	1	['ghost dance']
abilene-weekly-reflector_1890-12-25.txt	abilene-weekly-reflector	1890-12-25	0	[]	13	['Hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'HOSTILE', 'hostile', 'hostile']	3	['Dakota', 'Dakota', 'Dakota']	0	[]	2	['Sioux', 'Sioux']	0	[]	2	['Big Foot', 'Big Foot']	0	[]	0	[]	6	['ghost dance', 'GHOST DANCE', 'ghost dance', 'ghost dance', 'ghost dance', 'ghost dance']
abilene-weekly-reflector_1891-01-01.txt	abilene-weekly-reflector	1891-01-01	1	['Wounded Knee']	6	['hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile']	0	[]	0	[]	2	['Sioux', 'Sioux']	4	['Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge']	4	['BIG FOOT', 'Big Foot', 'Big Foot', 'Big Foot']	0	[]	0	[]	0	[]
abilene-weekly-reflector_1891-01-08.txt	abilene-weekly-reflector	1891-01-08	12	['Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee', 'Wounded Knee']	29	['HOSTILE', 'Hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'Hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'HOSTILE', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile', 'hostile']	1	['Dakota']	0	[]	8	['Sioux', 'Sioux', 'Sioux', 'Sioux', 'Sioux', 'Sioux', 'Sioux', 'Sioux']	9	['Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge', 'Pine Ridge']	3	['Big Foot', 'Big Foot', 'Big Foot']	0	[]	0	[]	1	['ghost dance']
